Category,original_line,rho,gamma,delta,alpha,kappa,beta_judge,top1_hit,top3_hit,posterior_consistency,map_match_rate,weighted_score,seasons_run,status
Overall Best (Weighted),3904,0.9,0,1.2,7,0.3,2,0.3791946308724832,0.7919463087248322,0.5875901234565315,0.821969697,0.7570797493201451,34,completed
Overall Best (Weighted),4245,0.9,0.7,1.5,7,0.2,4,0.3724832214765101,0.8053691275167785,0.5795632702639794,0.75,0.7491341305628629,34,completed
Overall Best (Weighted),4083,0.9,0.4,1.5,7,0.2,4,0.3355704697986577,0.785234899,0.5780645685025196,0.803030303,0.747359914,34,completed
Overall Best (Weighted),3563,0.85,0.2,1.8,7,0.3,4,0.3691275167785235,0.7651006711409396,0.5965931090216834,0.8446969696969697,0.7473184184282944,34,completed
Overall Best (Weighted),3921,0.9,0,1.5,7,0.2,4,0.3154362416107382,0.7550335570469798,0.5882783387177809,0.8825757575757576,0.7471909534868956,34,completed
Overall Best (Weighted),3618,0.85,0.3,1.8,7,0.4,2,0.3590604026845637,0.7785234899328859,0.5885975991857397,0.8068181818181818,0.7461972501605159,34,completed
Overall Best (Weighted),3471,0.85,0,1.2,7,0.2,4,0.3557046979865771,0.7718120805369127,0.585053817,0.8295454545454546,0.7460071027193164,34,completed
Overall Best (Weighted),3992,0.9,0.2,1.8,7,0.2,4,0.3355704697986577,0.7516778523489933,0.5988548306865785,0.8674242424242424,0.7442625260315602,34,completed
Overall Best (Weighted),3903,0.9,0,1.2,7,0.2,4,0.3456375838926174,0.7550335570469798,0.5884323835424448,0.8674242424242424,0.7441914594215253,34,completed
Overall Best (Weighted),4262,0.9,0.7,1.8,7,0.2,2,0.3657718120805369,0.785234899,0.5724552884598133,0.7916666666666666,0.7439653306226114,34,completed
Top-3 Best (Recall),3403,0.8,0.7,1.8,7,0.4,2,0.3422818791946309,0.8187919463087249,0.5416588968283126,0.6136363636363636,0.7223342198781701,34,completed
Top-3 Best (Recall),3206,0.8,0.4,1.5,3,0.2,2,0.3355704697986577,0.8120805369127517,0.4972112765744158,0.5984848484848485,0.7063875471595039,34,completed
Top-3 Best (Recall),2894,0.75,0.6,1.5,7,0.2,2,0.3523489932885906,0.8087248322147651,0.5364565886577715,0.6287878787878788,0.7182837928179892,34,completed
Top-3 Best (Recall),2588,0.7,0.8,1.8,7,0.2,2,0.3959731543624161,0.8087248322147651,0.5209710063705142,0.5606060606060606,0.701550313,34,completed
Top-3 Best (Recall),3688,0.85,0.5,1.2,7,0.3,2,0.3624161073825503,0.8087248322147651,0.5454051571418536,0.6553030303030303,0.7253765368178358,34,completed
Top-1 Best (Precision),2577,0.7,0.8,1.8,3,0.2,4,0.3959731543624161,0.7751677852348994,0.5018787370466451,0.5416666666666666,0.6738097518836019,34,completed
Top-1 Best (Precision),283,0.4,0.6,1.2,5,0.4,4,0.3926174496644295,0.7348993288590604,0.4613009479620094,0.4696969696969697,0.6271391808472321,34,completed
Top-1 Best (Precision),743,0.5,0.6,1.8,3,0.3,4,0.3926174496644295,0.7684563758389261,0.4745334381114252,0.5,0.6559805131256407,34,completed
Top-1 Best (Precision),207,0.4,0.4,1.8,5,0.2,4,0.3926174496644295,0.7651006711409396,0.5232204291796232,0.5833333333333334,0.6803711551871551,34,completed
Mechanistic Best (MAP Match),3938,0.9,0,1.8,7,0.2,2,0.3422818791946309,0.697986577,0.5889316540082822,0.8939393939393939,0.715366156,34,completed
Mechanistic Best (MAP Match),3941,0.9,0,1.8,7,0.3,4,0.3590604026845637,0.7080536912751678,0.5891433710463193,0.875,0.7176608889743646,34,completed
Contrast: High Judge Influence,4268,0.9,0.7,1.8,7,0.4,4,0.348993289,0.7718120805369127,0.5767913039204369,0.7916666666666666,0.7367788424395684,34,completed
